06/17/15 00:11:26:036 [4136] ERROR dhplay- frame check failed. frameID:720520, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:629 [5980] ERROR dhplay- frame check failed. frameID:720520, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:629 [5980] ERROR dhplay- frame check failed. frameID:720521, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:629 [5980] ERROR dhplay- frame check failed. frameID:720522, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:629 [5980] ERROR dhplay- frame check failed. frameID:720523, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:630 [5980] ERROR dhplay- frame check failed. frameID:720524, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:630 [5980] ERROR dhplay- frame check failed. frameID:720525, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:630 [5980] ERROR dhplay- frame check failed. frameID:720526, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:630 [5980] ERROR dhplay- frame check failed. frameID:720527, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:631 [5980] ERROR dhplay- frame check failed. frameID:720528, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:631 [5980] ERROR dhplay- frame check failed. frameID:720529, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:631 [5980] ERROR dhplay- frame check failed. frameID:720530, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:631 [5980] ERROR dhplay- frame check failed. frameID:720531, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:15:51:632 [5980] ERROR dhplay- frame check failed. frameID:720532, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:167 [6256] ERROR dhplay- frame check failed. frameID:720520, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:167 [6256] ERROR dhplay- frame check failed. frameID:720521, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:168 [6256] ERROR dhplay- frame check failed. frameID:720522, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:168 [6256] ERROR dhplay- frame check failed. frameID:720523, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:168 [6256] ERROR dhplay- frame check failed. frameID:720524, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:168 [6256] ERROR dhplay- frame check failed. frameID:720525, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:168 [6256] ERROR dhplay- frame check failed. frameID:720526, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:169 [6256] ERROR dhplay- frame check failed. frameID:720527, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:169 [6256] ERROR dhplay- frame check failed. frameID:720528, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:169 [6256] ERROR dhplay- frame check failed. frameID:720529, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:169 [6256] ERROR dhplay- frame check failed. frameID:720530, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:169 [6256] ERROR dhplay- frame check failed. frameID:720531, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:170 [6256] ERROR dhplay- frame check failed. frameID:720532, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:170 [6256] ERROR dhplay- frame check failed. frameID:720533, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:170 [6256] ERROR dhplay- frame check failed. frameID:720534, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:170 [6256] ERROR dhplay- frame check failed. frameID:720535, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:171 [6256] ERROR dhplay- frame check failed. frameID:720536, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:17:29:171 [6256] ERROR dhplay- frame check failed. frameID:720537, lastSeq:-1 [playgraph.cpp:2636][]
06/17/15 00:43:11:275 [7732] ERROR dhplay- already in used.port:5 [dhplay.cpp:53][]
06/17/15 00:43:29:654 [7732] ERROR dhplay- already in used.port:5 [dhplay.cpp:53][]
06/17/15 00:45:46:771 [6832] ERROR dhplay- already in used.port:5 [dhplay.cpp:53][]
06/17/15 00:45:55:529 [6832] ERROR dhplay- already in used.port:5 [dhplay.cpp:53][]
06/17/15 00:46:09:638 [6832] ERROR dhplay- already in used.port:5 [dhplay.cpp:53][]
06/17/15 01:05:06:946 [6100] ERROR dhplay- frame check failed. frameID:49967, lastSeq:49965 [playgraph.cpp:2636][]
06/17/15 01:05:06:946 [6100] ERROR dhplay- frame check failed. frameID:49968, lastSeq:49965 [playgraph.cpp:2636][]
06/17/15 01:05:06:947 [6100] ERROR dhplay- frame check failed. frameID:49969, lastSeq:49965 [playgraph.cpp:2636][]
06/17/15 01:05:06:947 [6100] ERROR dhplay- frame check failed. frameID:49970, lastSeq:49965 [playgraph.cpp:2636][]
06/17/15 01:05:06:947 [6100] ERROR dhplay- frame check failed. frameID:49971, lastSeq:49965 [playgraph.cpp:2636][]
06/17/15 01:05:06:947 [6100] ERROR dhplay- frame check failed. frameID:49972, lastSeq:49965 [playgraph.cpp:2636][]
06/17/15 01:05:06:948 [6100] ERROR dhplay- frame check failed. frameID:49973, lastSeq:49965 [playgraph.cpp:2636][]
06/17/15 01:05:34:918 [4624] ERROR dhplay- closed state.port:5 [dhplay.cpp:92][]
09/17/15 01:07:33:381 [2260] ERROR dhplay- frame check failed. frameID:18788, lastSeq:18786 [playgraph.cpp:2636][]
